,,BusStopCode,RoadName,Description,Latitude,Longitude,UpDown,LeftRight,HDB_Bus_Distance,Postal
,295,76459,Tampines St 33,Blk 323,1.352080031,103.9587319,27,-2,65.98851885,520323
38363,310,53361,Sin Ming Ave,Blk 454,1.359298333,103.8303208,1,0,72.65702317,570455
,311,53369,Sin Ming Ave,Opp Blk 454,1.359473443,103.8301456,1,0,99.42173845,570455
58065,259,76241,Tampines Ave 7,Blk 497D,1.358458027,103.9591706,27,0,66.77140086,522497
,260,76249,Tampines Ave 7,Blk 370,1.358366398,103.9594744,27,0,99.32472866,522497
,261,76251,Tampines St 45,Blk 487B,1.359708269,103.9582372,27,0,156.056394,522497
,262,76259,Tampines St 45,Opp Blk 487B,1.359670158,103.9584245,27,0,148.1278343,522497
21415,87,65011,Punggol Rd,Opp The Rivervale,1.381596968,103.8972095,14,4,81.58520882,542264
,88,65019,Punggol Rd,The Rivervale,1.381514078,103.8974924,14,4,108.3285199,542264
68153,310,53361,Sin Ming Ave,Blk 454,1.359298333,103.8303208,1,0,104.9983885,570450
,311,53369,Sin Ming Ave,Opp Blk 454,1.359473443,103.8301456,1,0,127.2060314,570450
87080,441,21561,Corporation Dr,Blk 158,1.328893152,103.7227432,-20,-6,127.3037722,613138
,442,21569,Corporation Dr,Opp Blk 158,1.328572039,103.7228981,-20,-6,100.7572863,613138
,473,21761,Yuan Ching Rd,Blk 138B,1.328313333,103.7247681,-20,-6,108.7926533,613138
,474,21769,Yuan Ching Rd,Opp Blk 138B,1.328475541,103.7249038,-20,-6,123.0457505,613138
35096,225,76071,Tampines Ave 2,Blk 141,1.348026389,103.9451781,24,-3,150.3456892,521102
,226,76079,Tampines Ave 2,Blk 101,1.347943889,103.945635,24,-3,136.8597089,521102
12749,259,76241,Tampines Ave 7,Blk 497D,1.358458027,103.9591706,27,0,129.6427472,521497
,260,76249,Tampines Ave 7,Blk 370,1.358366398,103.9594744,27,0,164.7262114,521497
,261,76251,Tampines St 45,Blk 487B,1.359708269,103.9582372,27,0,116.2276765,521497
,262,76259,Tampines St 45,Opp Blk 487B,1.359670158,103.9584245,27,0,118.2271803,521497
23083,290,76431,Tampines St 33,BLK 333,1.353726389,103.9612131,27,-1,153.1310882,520355
23408,288,76421,Tampines St 32,Opp Blk 331,1.353841243,103.9598719,27,-1,144.0006077,520358
,289,76429,Tampines St 32,Blk 331,1.353692221,103.959589,27,-1,179.4872155,520358
,290,76431,Tampines St 33,BLK 333,1.353726389,103.9612131,27,-1,86.21402119,520358
